date,temp_average,temp_max,curah_hujan,penyinaran_matahari,kelembaban_average,kec_angin_average,arah_angin_most,arah_angin,weather_encoded
03/06/2018,28.0,32.4,0.0,44,83,3.0,90.0,110,0
04/06/2018,28.1,33.2,0.0,81,84,4.8,135.0,130,0
05/06/2018,28.7,33.2,0.0,100,83,4.1,135.0,110,0
06/06/2018,28.8,33.4,0.0,100,83,4.0,135.0,160,0
07/06/2018,28.8,34.0,0.0,100,81,4.0,135.0,130,0
08/06/2018,29.1,33.1,0.0,75,81,4.2,135.0,130,0
09/06/2018,28.5,33.0,2.8,95,82,3.9,135.0,150,1
10/06/2018,28.1,33.0,0.0,85,80,6.2,135.0,160,0
11/06/2018,28.2,34.4,0.0,64,83,4.6,135.0,130,0
12/06/2018,26.8,32.4,24.4,53,86,3.9,135.0,170,2
13/06/2018,27.6,32.4,4.1,59,84,4.2,135.0,120,2
14/06/2018,27.2,32.0,13.1,81,87,4.2,180.0,140,2
15/06/2018,33.0,31.2,0.0,19,85,5.0,180.0,150,0
16/06/2018,27.8,32.6,0.0,88,84,4.5,135.0,130,0
17/06/2018,28.5,34.0,0.0,78,81,4.7,135.0,150,0
18/06/2018,27.4,32.3,8.0,70,84,4.8,135.0,130,1
19/06/2018,27.5,32.6,0.0,68,80,4.5,135.0,140,0
20/06/2018,27.5,31.8,0.0,16,81,4.2,135.0,150,0
21/06/2018,28.1,33.4,2.2,25,78,5.1,135.0,140,1
22/06/2018,27.3,32.8,0.0,78,84,4.7,135.0,140,0
23/06/2018,26.4,32.2,0.0,99,87,4.1,180.0,240,0
24/06/2018,25.3,30.2,13.4,13,91,5.1,135.0,140,2
25/06/2018,25.2,29.0,0.0,63,87,3.6,135.0,130,0
26/06/2018,26.2,32.0,0.0,63,85,4.6,135.0,120,0
27/06/2018,25.6,29.8,9.7,45,87,4.2,135.0,190,1
28/06/2018,25.7,30.0,2.2,38,88,4.3,135.0,120,1
29/06/2018,26.2,30.2,0.0,10,85,4.3,135.0,130,0
30/06/2018,26.4,31.2,0.0,28,83,4.5,135.0,110,0
01/07/2018,25.8,31.0,7.2,34,89,4.1,135.0,140,1
02/07/2018,26.8,31.4,0.0,78,84,4.0,180.0,110,0
03/07/2018,27.3,32.0,0.0,100,83,5.4,135.0,160,0
04/07/2018,27.4,31.6,0.0,54,79,4.9,135.0,140,0
05/07/2018,26.9,31.5,0.0,6,83,4.7,135.0,140,0
06/07/2018,26.8,32.0,0.0,100,80,5.6,135.0,150,0
07/07/2018,26.6,30.8,0.0,70,81,5.6,135.0,140,0
08/07/2018,27.3,32.0,0.0,100,79,5.4,135.0,140,0
09/07/2018,28.0,32.6,2.2,95,81,4.5,135.0,130,1
10/07/2018,25.5,29.2,20.1,0,92,5.4,135.0,250,1
11/07/2018,26.8,31.4,0.0,94,86,4.2,225.0,130,0
12/07/2018,27.6,32.2,0.0,50,83,5.1,135.0,140,0
13/07/2018,27.2,31.4,0.0,69,85,5.3,135.0,140,0
14/07/2018,27.3,32.0,0.0,45,78,5.3,135.0,130,0
15/07/2018,33.0,33.0,0.0,100,77,5.5,135.0,130,0
16/07/2018,27.4,32.4,0.0,86,78,5.3,135.0,130,0
17/07/2018,27.4,34.4,0.0,100,79,5.1,135.0,130,0
18/07/2018,27.5,32.7,0.0,100,80,5.3,135.0,130,0
19/07/2018,27.8,32.0,0.0,48,81,4.8,135.0,120,0
20/07/2018,28.3,32.8,0.0,78,84,4.4,135.0,140,0
21/07/2018,28.7,33.4,0.0,88,76,4.1,135.0,19,0
22/07/2018,27.8,32.8,0.0,79,78,5.4,135.0,120,0
23/07/2018,28.4,33.4,0.0,100,78,5.2,135.0,110,0
24/07/2018,28.2,33.6,0.0,100,78,4.7,135.0,140,0
25/07/2018,27.7,33.6,0.0,100,81,5.3,135.0,120,0
26/07/2018,28.3,33.4,0.0,55,75,4.5,135.0,130,0
27/07/2018,27.9,33.0,0.0,100,76,5.0,135.0,110,0
28/07/2018,27.7,33.2,0.0,99,74,5.1,135.0,140,0
29/07/2018,27.4,32.8,0.0,79,77,4.8,135.0,130,0
30/07/2018,27.3,32.7,4.0,65,80,4.3,135.0,130,1
31/07/2018,26.6,29.6,2.2,0,79,3.8,180.0,160,1
01/08/2018,24.6,27.8,2.5,1,93,3.6,90.0,50,1
02/08/2018,27.2,32.2,0.0,93,79,4.5,135.0,150,0
03/08/2018,27.9,32.0,0.0,83,77,5.5,135.0,130,0
04/08/2018,27.2,32.0,0.0,86,78,5.9,135.0,120,0
05/08/2018,27.7,33.2,0.0,98,75,5.3,135.0,130,0
06/08/2018,27.4,32.2,0.0,100,73,5.8,135.0,150,0
07/08/2018,26.7,31.0,0.5,16,81,4.1,135.0,140,1
08/08/2018,26.9,30.2,0.0,25,84,4.7,135.0,150,0
09/08/2018,28.1,33.0,0.0,30,82,4.2,135.0,120,0
10/08/2018,28.4,33.6,0.0,100,86,5.3,135.0,120,0
11/08/2018,28.4,33.0,0.3,81,82,4.6,135.0,160,1
12/08/2018,28.3,33.0,2.8,79,82,4.6,135.0,160,1
13/08/2018,28.3,34.0,0.0,100,78,5.1,135.0,170,0
14/08/2018,28.4,33.8,0.0,100,85,5.8,135.0,140,0
15/08/2018,33.0,34.0,0.0,100,82,5.9,135.0,140,0
16/08/2018,28.1,34.2,0.0,79,80,4.6,135.0,140,0
17/08/2018,27.5,34.4,0.0,100,76,5.7,135.0,130,0
18/08/2018,28.1,34.4,0.0,100,74,6.3,135.0,150,0
19/08/2018,28.2,33.4,0.0,50,77,5.7,135.0,130,0
20/08/2018,28.7,34.4,0.0,96,73,5.1,135.0,150,0
21/08/2018,28.5,34.4,0.0,100,75,5.7,135.0,140,0
22/08/2018,28.3,33.1,10.2,61,76,6.1,135.0,120,2
23/08/2018,26.5,33.4,0.4,65,84,4.1,135.0,120,1
24/08/2018,26.6,31.2,32.3,43,84,6.2,135.0,210,2
25/08/2018,22.7,26.8,15.8,0,96,3.4,135.0,260,1
